date,ust1,ust2,ust5,ust10,ust5vs2,ust10vs2
20000814,6.3378933739,6.1602343693,5.9792916741,5.8228775489,-0.180942695200001,-0.3373568204
20000815,6.3579207464,6.1897881493,6.0223288222,5.8526267283,-0.1674593271,-0.337161421
20000816,6.3573814118,6.2131520286,6.0530400818,5.8834556211,-0.1601119468,-0.3296964075
20000817,6.3651379425,6.2156080053,6.0325238182,5.8580371694,-0.1830841871,-0.3575708359
20000818,6.3355103919,6.1865746897,6.006711809,5.8316341447,-0.179862880700001,-0.354940545000001
20000821,6.3421085824,6.2002111469,6.0149321392,5.8338088424,-0.1852790077,-0.3664023045
20000822,6.3247177067,6.1752400383,6.0067687254,5.8331614323,-0.1684713129,-0.342078606
20000823,6.29880527,6.1333278995,5.9385415572,5.7785428047,-0.1947863423,-0.3547850948
20000824,6.2896612554,6.1124637384,5.9312475287,5.7825039726,-0.1812162097,-0.3299597658
20000825,6.2974230896,6.1211681795,5.9389525394,5.7905764743,-0.1822156401,-0.3305917052
20000828,6.3124453989,6.1559393929,5.9895856267,5.8406283233,-0.166353766199999,-0.3153110696
20000829,6.3375288599,6.1903128546,6.0195411046,5.8709967591,-0.17077175,-0.3193160955
20000830,6.3111543948,6.1650814944,6.0113524624,5.8574228029,-0.153729032,-0.307658691499999
20000831,6.2863722989,6.104024406,5.9189664105,5.774838546,-0.185057995499999,-0.32918586
20000901,6.1783728011,6.0158912955,5.8577543559,5.7387955086,-0.1581369396,-0.2770957869
20000905,6.2184831706,6.0205108147,5.8593328863,5.7489713295,-0.1611779284,-0.2715394852
20000906,6.2256347657,6.0304102519,5.8820766856,5.7811962587,-0.1483335663,-0.249213993200001
20000907,6.257051106,6.0547475208,5.9004332747,5.809912775,-0.1543142461,-0.2448347458
20000908,6.2360156244,6.021446871,5.8718193586,5.7932805631,-0.1496275124,-0.2281663079
20000911,6.2497814579,6.0534333852,5.915446189,5.8207521882,-0.1379871962,-0.232681197
20000912,6.2366950304,6.0448192139,5.9116516054,5.8299324809,-0.1331676085,-0.214886733
20000913,6.1784289732,6.0009401504,5.8696395681,5.7771446674,-0.1313005823,-0.223795483
20000914,6.1856488741,6.0150761621,5.8844890745,5.8348576156,-0.130587087599999,-0.1802185465
20000915,6.1681748186,5.9773031552,5.862015606,5.8840367516,-0.1152875492,-0.0932664036
20000918,6.1193644116,5.9301878166,5.8354494217,5.9113103783,-0.0947383949,-0.018877438300001
20000919,6.1807084535,5.9839714913,5.8494078539,5.8867075792,-0.1345636374,-0.0972639121
20000920,6.2047963209,6.0086588308,5.8901260169,5.9283302941,-0.1185328139,-0.0803285367
20000921,6.1032925727,5.9496665813,5.8417567904,5.863068743,-0.1079097909,-0.0865978383
20000922,6.1777153201,6.0037128041,5.8602009311,5.8811647414,-0.143511873,-0.1225480627
20000925,6.204375291,6.0109950938,5.8638923383,5.8620862296,-0.1471027555,-0.1489088642
20000926,6.190693793,5.9684726193,5.8208036726,5.8271587945,-0.1476689467,-0.1413138248
20000927,6.1897290742,5.9638302976,5.8321271244,5.8415759357,-0.1317031732,-0.122254361900001
20000928,6.1930376724,5.9803028459,5.8184703599,5.8186134039,-0.161832486,-0.161689442
20000929,6.2042492926,5.9168477399,5.7949983252,5.7190555501,-0.1218494147,-0.197792189799999
20001002,6.1953908827,5.9130970034,5.7878930631,5.7364997329,-0.1252039403,-0.176597270499999
20001003,6.2148408258,5.9377366252,5.813522981,5.7796490812,-0.1242136442,-0.158087544000001
20001004,6.2223770738,5.9624524017,5.8365219715,5.8023393399,-0.1259304302,-0.160113061800001
20001005,6.237994008,5.9460658085,5.804024832,5.7694113372,-0.142040976500001,-0.1766544713
20001006,6.2174353622,5.9049288128,5.7849565796,5.7263155588,-0.1199722332,-0.178613254
20001010,6.2033580448,5.8822163647,5.7551547824,5.6977018494,-0.1270615823,-0.1845145153
20001011,6.1661257766,5.8635629955,5.7378506584,5.6915758491,-0.1257123371,-0.171987146399999
20001012,6.0714563508,5.7640990262,5.6446555316,5.6324223651,-0.1194434946,-0.1316766611
