date,low,high,close,volume,open
2001-11-27,114.46,116.58,115.41,161000,115.65
2001-11-28,113.18,115.09,113.23,184300,114.75
2001-11-29,113,114.46,114.33,133200,113.47
2001-11-30,113.89,114.73,114.08,252300,114.5
2001-12-03,112.98,113.91,113.32,154100,113.75
2001-12-04,113.33,115.17,115.17,113700,113.8
2001-12-05,115.57,117.9,117.45,229800,115.61
2001-12-06,116.88,117.74,117.3,219900,117.35
2001-12-07,115.73,116.95,116.4,186100,116.8
2001-12-10,114.36,116.25,114.36,186100,115.8
2001-12-11,113.91,115.53,113.96,275000,114.75
2001-12-12,113.16,114.61,114.25,397800,114.36
2001-12-13,112.02,113.56,112.06,154200,113.26
2001-12-14,111.94,113.15,112.95,213800,112.3
2001-12-17,112.44,113.89,113.85,193400,112.44
2001-12-18,114,114.67,114.57,539100,114.27
2001-12-19,113.62,115.45,115.33,166400,113.62
2001-12-20,114.18,115.3,114.18,305000,114.98
2001-12-21,114.2,114.98,114.84,1136500,114.98
2001-12-24,114.64,114.94,114.64,61600,114.75
2001-12-26,114.76,116.1,115.3,252600,114.76
2001-12-27,115.26,115.96,115.96,149400,115.26
2001-12-28,116,116.68,116.04,316700,116.28
2001-12-31,114.33,116.34,114.33,296700,116.08
2002-01-02,113.86,115.57,115.45,987900,115
2002-01-03,115.45,116.78,116.78,359500,115.45
2002-01-04,116.55,117.86,117.6,154100,117.12
2002-01-07,116.6,117.96,116.71,220900,117.6
2002-01-08,116.02,117.02,116.23,124300,116.74
2002-01-09,115.46,117.73,115.63,176700,116.71
2002-01-10,115.42,116.23,116.11,83200,115.7
2002-01-11,114.74,116.19,114.97,153000,116.06
2002-01-14,114,114.74,114.22,137400,114.65
2002-01-15,113.98,115.16,115.1,148000,114.48
2002-01-16,112.8,114.27,112.8,102800,114.2
2002-01-17,113.41,114.19,113.67,74600,113.65
2002-01-18,112.7,113.7,113.06,83800,113.15
2002-01-22,112.09,113.84,112.39,84700,113.82
2002-01-23,111.98,113.49,113,182000,112.54
2002-01-24,113.34,114.15,113.59,996900,113.5
2002-01-25,113.15,114.05,113.57,147300,113.15
2002-01-28,112.96,114.15,113.54,46700,113.92
2002-01-29,110.1,114.02,110.25,198300,113.88
2002-01-30,108.5,111.84,111.84,108400,110.39
2002-01-31,111.6,113.14,113.14,129000,112.01
2002-02-01,112.16,113.34,112.49,910000,113.17
2002-02-04,109.5,112,109.83,114100,112
2002-02-05,108.57,110.31,109.19,104100,109.31
2002-02-06,108,109.67,108.69,120200,109.4
2002-02-07,108,109.67,108.02,86500,108.73
2002-02-08,108.29,110.15,110.15,89800,108.65
2002-02-11,109.74,111.57,111.54,75300,109.92
2002-02-12,110.67,111.64,111.08,85200,110.9
2002-02-13,111.32,112.37,112.25,82100,111.47
2002-02-14,111.7,112.86,112,208500,112.35
2002-02-15,110.72,112.11,110.79,944900,112.1
2002-02-19,108.6,110.16,108.77,140400,110.09
2002-02-20,107.81,110.54,110.54,86200,108.95
2002-02-21,108.22,110.56,108.22,64100,109.99
2002-02-22,108,109.63,109.63,120500,108.22
2002-02-25,109.69,111.65,111.41,75500,109.69
2002-02-26,110.57,111.92,111.2,159800,111.55
2002-02-27,110.66,112.76,111.63,237000,112.02
2002-02-28,111.04,112.57,111.04,168400,111.82
2002-03-01,111.53,113.76,113.76,135300,111.63
2002-03-04,113.73,115.95,115.67,134700,113.85
2002-03-05,115,116.29,115.4,104100,115.29
2002-03-06,115.08,117.04,116.73,115300,115.17
2002-03-07,115.61,117.31,116.44,102200,116.9
2002-03-08,116.53,117.82,116.91,218800,117.33
2002-03-11,116.15,117.46,116.89,138700,116.47
2002-03-12,115.61,116.93,116.93,1793700,115.75
2002-03-13,115.34,116.4,115.7,104400,116.28
2002-03-14,115.38,116.03,115.57,44900,115.71
2002-03-15,115.9,116.96,116.72,124500,115.92
2002-03-18,116.16,117.51,116.7,116900,117.19
2002-03-19,116.9,117.68,117.49,84800,117.28
2002-03-20,115.44,116.55,115.46,239700,116.55
2002-03-21,114.2,115.78,115.27,119500,115.36
2002-03-22,114.78,115.87,115.03,259700,115.45
2002-03-25,113.37,115.3,113.53,168000,115.07
2002-03-26,113.46,114.95,113.97,112600,113.46
2002-03-27,113.88,114.94,114.76,439700,114.08
2002-03-28,114.49,115.71,114.49,141800,114.91
2002-04-01,113.57,115.02,114.85,423100,114.24
2002-04-02,113.78,114.32,113.95,787900,114.15
2002-04-03,112.25,114.18,113.08,60300,114.01
2002-04-04,112.34,113.36,112.72,101100,112.48
2002-04-05,112.35,113.45,112.6,134400,113.44
2002-04-08,111.29,112.77,112.7,301000,111.3
2002-04-09,112.01,113.1,112.05,126500,112.93
2002-04-10,112.16,113.53,113.42,96300,112.24
2002-04-11,110.53,113,110.73,154200,112.98
2002-04-12,110.68,111.63,111.43,63700,111.08
2002-04-15,110.25,111.8,110.65,107800,111.65
2002-04-16,111.73,113.21,113.16,92500,111.8
2002-04-17,112.63,113.6,113.03,125600,113.47
2002-04-18,111.48,113.38,112.49,129300,112.98
2002-04-19,112.65,113.25,112.91,222400,113.25
2002-04-22,110.92,112.5,111.11,105100,112.5
2002-04-23,110.18,111.43,110.58,235200,111.16
2002-04-24,109.45,111.14,109.45,236700,110.65
2002-04-25,108.8,109.72,109.6,590300,109.28
2002-04-26,107.33,109.97,107.5,613500,109.89
2002-04-29,106.67,108.17,106.91,174200,108
2002-04-30,106.77,108.61,107.95,260100,107.06
2002-05-01,106.97,109.2,109.15,1597900,108.03
2002-05-02,108.3,109.49,108.77,100900,109.02
2002-05-03,107.25,108.6,107.63,151600,108.6
2002-05-06,105.56,107.96,105.56,262500,107.6
2002-05-07,104.93,106.28,105.07,396000,106.05
2002-05-08,107.1,109.32,109,110600,107.1
2002-05-09,107.62,108.95,107.7,97700,108.62
2002-05-10,105.72,107.94,105.72,89900,107.9
2002-05-13,105.89,107.95,107.91,117100,106.24
2002-05-14,109.11,110.22,110.19,163800,109.6
2002-05-15,109.39,110.77,109.48,119900,109.55
2002-05-16,109.4,110.36,110.32,160300,109.62
2002-05-17,110.15,111.2,110.96,1618100,110.72
2002-05-20,109.57,110.47,109.75,87400,110.47
2002-05-21,108.4,110.37,108.57,62000,110.1
2002-05-22,108.1,109.05,109.05,130700,108.4
2002-05-23,108.55,110.2,110.14,272900,109.33
2002-05-24,108.68,110.05,108.75,127600,110.05
2002-05-28,107.5,109.04,107.99,232300,109.04
2002-05-29,107.2,107.93,107.2,925000,107.79
2002-05-30,105.96,107.41,107.11,104600,106.54
2002-05-31,107.08,108.5,107.08,273800,107.49
2002-06-03,104.28,107.56,104.29,212000,107.07
2002-06-04,103.56,105.14,104.68,126900,104.27
2002-06-05,104.53,105.61,105.56,64000,104.65
2002-06-06,103.27,105.37,103.42,113200,105.37
2002-06-07,101.82,103.87,103.22,148100,102.05
2002-06-10,103.03,104.35,103.74,112600,103.45
2002-06-11,101.78,104.44,101.88,66700,104.32
2002-06-12,100.76,102.77,102.59,112200,101.85
2002-06-13,101.45,102.85,101.45,124300,102.35
2002-06-14,98.45,101.5,101.47,147400,100.17
2002-06-17,101.5,103.84,103.84,129600,101.5
2002-06-18,103.4,104.28,103.93,145300,103.4
2002-06-19,102,103.99,102,68100,103.17
2002-06-20,100.67,102.65,100.89,159900,102.14
2002-06-21,98.63,100.75,99.23,1026000,99.8
2002-06-24,97.34,100.48,99.86,251800,98.94
2002-06-25,97.51,100.85,97.51,173200,100.38
2002-06-26,95.24,98,97.67,905600,95.25
2002-06-27,96.68,99.12,99.12,212400,98.57
2002-06-28,99.02,100.4,99.02,161100,99.15
2002-07-01,96.94,99.55,97.1,132500,99.17
2002-07-02,94.81,97.2,95.04,151700,96.75
2002-07-03,93.8,95.74,95.65,669800,94.66
2002-07-05,96.75,99.19,99.15,240200,96.75
2002-07-08,97.66,99.45,98.03,600900,99.03
2002-07-09,95.44,98.23,95.44,284900,97.8
2002-07-10,92.17,95.93,92.2,266500,95.78
2002-07-11,90.25,93.24,93.05,472600,91.37
2002-07-12,91.56,93.71,92.09,186700,93.5
2002-07-15,88.01,92.24,92.19,451100,90.86
2002-07-16,90,92.2,90.4,134800,91.4
2002-07-17,89.98,93.69,90.78,174300,93
2002-07-18,87.87,91.03,87.87,109200,90.6
2002-07-19,84.26,87.37,84.8,644500,86.75
2002-07-22,81.51,85.89,82.1,669100,84
2002-07-23,79.75,83.1,79.85,321800,82.55
2002-07-24,77.77,85.39,84.67,875200,78.34
2002-07-25,81.75,85.73,84.12,318000,83.87
2002-07-26,84,85.75,85.75,164700,84.52
2002-07-29,87.4,90.27,89.62,275700,87.5
2002-07-30,88.77,91.35,90.92,329600,89.4
2002-07-31,89.24,91.45,91.33,3733800,90.46
2002-08-01,88.45,91.23,88.5,200300,91.1
2002-08-02,85.72,88.85,86.54,314600,88.7
2002-08-05,83.6,86.52,83.72,126100,86.45
2002-08-06,85.55,87.95,86.23,146600,85.57
2002-08-07,85.73,88.92,87.93,483200,88.25
2002-08-08,87.9,91.09,90.87,637100,88.25
2002-08-09,89.5,91.87,91.25,134500,89.88
2002-08-12,89.58,91.25,90.7,181500,89.94
2002-08-13,88.76,91.61,88.76,241600,90.2
2002-08-14,88.01,92.53,92.25,91500,89.2
2002-08-15,92.4,93.79,93.57,400500,92.9
2002-08-16,91.97,94.03,93.19,126500,92.9
2002-08-19,93.29,95.63,95.41,137700,93.34
2002-08-20,93.64,95,94.28,176500,94.85
2002-08-21,93.66,95.7,95.7,173400,94.8
2002-08-22,95.17,96.99,96.74,117500,95.7
2002-08-23,94.19,96.01,94.51,331300,95.9
2002-08-26,93.5,95.57,95.27,237500,94.88
2002-08-27,93.46,95.96,93.91,153800,95.9
2002-08-28,91.77,93.35,92.14,176600,93.2
2002-08-29,90.87,92.8,92.13,98800,90.95
2002-08-30,91.5,93.28,91.76,91300,91.58
2002-09-03,88.12,90.57,88.17,170100,90.35
2002-09-04,88.13,90.16,89.52,469300,88.7
2002-09-05,87.5,89.31,88.38,307700,88
2002-09-06,89.31,90.48,89.73,236200,89.94
2002-09-09,88.79,91.22,90.86,83400,89.3
2002-09-10,90.57,91.72,91.72,124400,91.1
2002-09-11,91.22,93.22,91.22,108300,93.22
2002-09-12,89.07,90.8,89.54,99400,90.8
2002-09-13,88.29,89.83,89.49,69400,88.65
2002-09-16,88.05,89.47,89.47,119400,88.7
2002-09-17,87.37,90.6,87.37,781200,90.6
2002-09-18,85.88,87.93,86.4,261500,87.18
2002-09-19,84.42,86.29,84.47,1112200,85.63
2002-09-20,84.03,85.13,84.55,233400,84.85
2002-09-23,82.66,83.95,83.58,163000,83.76
2002-09-24,81.85,83.55,82.38,265000,82.42
2002-09-25,82.29,84.65,84.31,154800,83.25
2002-09-26,84.51,85.86,85.73,168400,85.05
2002-09-27,82.88,85.45,82.93,205500,84.92
2002-09-30,80.13,82.73,81.89,1918400,81.2
2002-10-01,81.64,85.75,85.75,194800,82.3
2002-10-02,82.61,85.4,83.1,241400,84.48
2002-10-03,81.93,84.25,82.2,261600,83.25
2002-10-04,79.6,82.8,80.9,416200,82.8
2002-10-07,78.46,81.08,78.76,353300,80.1
2002-10-08,78.15,81.26,80.2,283800,79.55
2002-10-09,77.79,80.28,78.14,255300,79
2002-10-10,77.05,80.97,80.67,366200,77.77
2002-10-11,81.82,84.77,83.96,447100,82.25
2002-10-14,83.05,84.73,84.57,127300,83.05
2002-10-15,86.88,88.82,88.82,769700,87.35
2002-10-16,85.91,87.78,86.65,360600,87.05
2002-10-17,87.89,89.2,88.26,408300,89.15
2002-10-18,86.926,88.99,88.75,409100,87.35
2002-10-21,87.61,90.49,90.19,195800,88.1
2002-10-22,88.55,89.98,89.53,1172300,89.2
2002-10-23,87.65,90.24,90.24,208100,88.45
2002-10-24,88.1,90.86,88.31,304900,90.85
2002-10-25,88.01,90.1,90.1,109000,88.4
2002-10-28,88.83,91.33,89.59,325500,91.33
2002-10-29,87.02,89.4,88.51,201900,89.2
2002-10-30,88.16,89.85,89.39,128200,88.55
2002-10-31,88.22,90.27,88.7,532700,89.97
2002-11-01,88.09,90.73,90.36,169300,88.1
2002-11-04,90.91,92.87,91.14,302800,91.67
2002-11-05,90.99,92.04,91.88,206000,91.1
2002-11-06,90.65,92.99,92.84,489900,92.3
2002-11-07,90.12,92.03,90.63,463700,91.9
2002-11-08,89.5,91.53,89.64,1146400,90.3
2002-11-11,87.76,89.28,88.27,201300,89.25
2002-11-12,88.31,89.87,88.82,938000,88.5
2002-11-13,87.59,89.7,88.63,335600,88.15
2002-11-14,89.76,91,90.79,438400,90.24
2002-11-15,89.9,91.56,91.46,219600,89.9
2002-11-18,90.41,92.19,90.56,310600,91.91
2002-11-19,89.66,90.94,90.35,122400,90.14
2002-11-20,90,92.1,91.46,271900,90.05
2002-11-21,92.7,94.16,94.16,1117400,92.7
2002-11-22,93.23,94.27,93.58,1759300,93.39
2002-11-25,92.77,94.24,93.88,247600,93.58
2002-11-26,91.68,93.31,91.78,625500,93.12
2002-11-27,92.57,94.65,94.3,574000,92.7
2002-11-29,93.78,94.72,93.78,1245500,94.43
2002-12-02,93.25,96.01,94.13,249100,95.47
2002-12-03,92.35,93.33,92.9,463300,93.15
2002-12-04,91.35,93.12,92.45,391600,91.6
2002-12-05,91.04,92.61,91.28,218500,92.58
2002-12-06,90,92.13,92.04,360700,90.08
2002-12-09,89.44,91.34,89.44,403200,91.15
2002-12-10,89.8,91.09,90.64,561300,90.24
2002-12-11,90.25,91.61,90.96,398700,90.44
2002-12-12,90.27,91.47,90.8,315500,91.22
2002-12-13,89.34,90.45,89.34,819700,89.99
2002-12-16,89.3,91.36,91.25,431900,89.3
2002-12-17,90.28,91.26,90.5,356300,90.97
2002-12-18,88.9,89.9,89.46,345700,89.9
2002-12-19,88.1,90.15,88.73,970400,89.08
2002-12-20,89.15,89.97,89.85,505900,89.3
2002-12-23,89.22,90.51,90.11,7531000,89.22
2002-12-24,89.33,89.87,89.47,308700,89.5
2002-12-26,88.82,90.6,89.38,346700,89.77
2002-12-27,87.38,89.11,87.38,717700,89.08
2002-12-30,87.25,88.5,88.13,907900,87.68
2002-12-31,87.09,88.43,88.35,502200,87.81
2003-01-02,88.63,91.18,91.16,215200,89.19
2003-01-03,90.51,91.37,91.37,471400,91.04
2003-01-06,91.29,93.48,93.07,2830700,91.29
2003-01-07,92.17,93.35,92.51,260000,92.91
2003-01-08,91.09,92.34,91.43,142500,91.97
2003-01-09,91.7,93.15,92.89,7340200,91.7
2003-01-10,91.98,93.44,93.1,409700,92.29
2003-01-13,92.38,93.77,93.07,228200,93.67
