,rawdate,year,month,day,date,low,high,close,volume,open,close-open,close-open_%of_close,high-low,high-low_%of_close,macd,rsi,50d_avg,100d_avg,200d_avg,so
2961,20120228,2012,02,28,2012-02-28,-0.197752550512207,-0.217885842204691,138.05,0.003366244582766,-0.210212353776557,0.276890670877744,0.261143112474548,-0.368674574479491,-0.351915660374902,1.08757416482911,-0.001629028409254,-0.334598924222417,-0.411574269956745,-0.416232227675494,1.09844705030532
2962,20120229,2012,02,29,2012-02-29,-0.202145767583187,-0.206872667135162,137.32001,0.821906479672765,-0.198768781094563,-0.730465234379199,-0.672290243284556,-0.092113192101873,-0.097259398914971,1.03652268279817,0.003406418212344,-0.328362781534575,-0.406725866173919,-0.415916537509886,0.474825560627118
2963,20120301,2012,03,01,2012-03-01,-0.193609184649056,-0.21082078649971,138.21001,2.22714054533557,-0.208755899071575,0.347728806357048,0.326160339629754,-0.316049534108045,-0.304307024121359,1.03213392708765,-0.000168629808323,-0.32183028467715,-0.402137967096784,-0.415404941021315,1.09844705030532
2964,20120302,2012,03,02,2012-03-02,-0.196107488517998,-0.214561110108229,137.85001,-0.07158212281809,-0.200433300757399,-0.250393435219255,-0.225904814708967,-0.33844690058102,-0.323973009790221,0.995500083356136,0.002408033226246,-0.314899826506285,-0.397448880241405,-0.414930286867932,0.787965158170169
2965,20120305,2012,03,05,2012-03-05,-0.210890559857175,-0.227444654777773,137.28,-0.077091344311568,-0.213749458060081,-0.195311098787782,-0.175742361358969,-0.304856449280094,-0.292048784003688,0.922452414200847,0.016976219098518,-0.30975173121754,-0.393724308829452,-0.414656018015786,0.296360204459203
2966,20120306,2012,03,06,2012-03-06,-0.251387068249992,-0.26463988731118,135.16,0.548511363058924,-0.249120500895333,-0.52585233755365,-0.490237519112672,-0.247006227595179,-0.233381767105006,0.736329166737542,-0.013620121715549,-0.305585838319411,-0.390477688199842,-0.414648181762867,-1.5320331603366
2967,20120307,2012,03,07,2012-03-07,-0.23962365696676,-0.254250099509738,136.17,-0.077894772446033,-0.254946319715257,0.489381467227186,0.463501467669912,-0.271258533434443,-0.25850325685536,0.636145967475304,-0.033496852903086,-0.301195562978598,-0.387226761707329,-0.414415333104719,-0.71286992296532
2968,20120308,2012,03,08,2012-03-08,-0.212056532160373,-0.224950897909671,137.50999,-0.06679981249389,-0.22456904393347,0.394941113294103,0.371536213841826,-0.239164723352579,-0.232471153514836,0.622613366512144,0.011217714390745,-0.296661348417619,-0.383644285924139,-0.413851124014054,0.476902005119784
2969,20120309,2012,03,09,2012-03-09,-0.193192765969342,-0.212275356791912,138.05,-0.05807687846255,-0.207923639240158,0.190320346439057,0.18123419521671,-0.349639985408961,-0.334571619124727,0.63305803051008,0.005159579256221,-0.291932382597283,-0.380391206500173,-0.413220865386468,0.956374791398237
2970,20120312,2012,03,12,2012-03-12,-0.194233812668626,-0.215807676848646,138.07001,-0.058344687840706,-0.203158951705292,0.025844600035066,0.029411252107856,-0.394423521537827,-0.375410256729791,0.633525918597108,0.005009360644543,-0.286547199739242,-0.376642950689317,-0.412632025833415,0.9741415928527
